Region,Access Geo-place,Temperature
cn-north-5,Hohhot,hot
cn-north-5,Madrid,cold
cn-north-5,Xiamen,cold
cn-north-5,Zhengzhou,hot
cn-north-5,Fuzhou,cold
cn-north-5,Fuzhou,cold
cn-north-5,Beijing,hot
cn-north-5,Qingdao,hot
cn-north-5,Qingdao,hot
cn-north-5,Wenzhou,warm
cn-north-5,Beijing,hot
cn-north-5,Shenzhen,cold
cn-north-5,Xianggang,cold
cn-north-5,Tianjin,hot
cn-north-5,Ningbo,warm
cn-north-5,Hefei,warm
cn-north-5,Qingdao,hot
cn-north-6,Paris,cold
cn-north-6,Shanghai,warm
cn-north-6,Baoding,hot
cn-north-6,Hohhot,hot
cn-north-6,Madrid,cold
cn-north-6,Xiamen,cold
cn-north-6,Zhengzhou,hot
cn-north-6,Fuzhou,cold
cn-north-6,Fuzhou,cold
cn-north-6,Beijing,hot
cn-north-6,Qingdao,hot
cn-north-6,Qingdao,hot
cn-north-6,Wenzhou,warm
cn-north-6,Beijing,hot
cn-north-6,Shenzhen,cold
cn-north-6,Xianggang,cold
cn-north-6,Tianjin,hot
cn-north-6,Ningbo,warm
cn-north-6,Hefei,warm
cn-north-6,Qingdao,hot
cn-north-7,Paris,cold
cn-north-7,Shanghai,warm
cn-north-7,Baoding,hot
cn-north-7,Hohhot,hot
cn-north-7,Madrid,cold
cn-north-7,Xiamen,cold
cn-north-7,Zhengzhou,hot
cn-north-7,Fuzhou,cold
cn-north-7,Fuzhou,cold
cn-north-7,Beijing,hot
cn-north-7,Qingdao,hot
cn-north-7,Qingdao,hot
cn-north-7,Wenzhou,warm
cn-north-7,Beijing,hot
cn-north-7,Shenzhen,cold
cn-north-7,Xianggang,cold
cn-north-7,Tianjin,hot
cn-north-7,Ningbo,warm
cn-north-7,Hefei,warm
cn-north-7,Qingdao,hot
cn-north-8,Paris,cold
cn-north-8,Shanghai,warm
cn-north-8,Baoding,hot
cn-north-8,Hohhot,hot
cn-north-8,Madrid,cold
cn-north-8,Xiamen,cold
cn-north-8,Zhengzhou,hot
cn-north-8,Fuzhou,cold
cn-north-8,Fuzhou,cold
cn-north-8,Beijing,hot
cn-north-8,Qingdao,hot
cn-north-8,Qingdao,hot
cn-north-8,Wenzhou,warm
cn-north-8,Beijing,hot
cn-north-8,Shenzhen,cold
cn-north-8,Xianggang,cold
cn-north-8,Tianjin,hot
cn-north-8,Ningbo,warm
cn-north-8,Hefei,warm
cn-north-8,Qingdao,hot
cn-north-9,Paris,cold
cn-north-9,Shanghai,warm
cn-north-9,Baoding,hot
cn-north-9,Hohhot,hot
cn-north-9,Madrid,cold
cn-north-9,Xiamen,cold
cn-north-9,Zhengzhou,hot
cn-north-9,Fuzhou,cold
cn-north-9,Fuzhou,cold
cn-north-9,Beijing,hot
cn-north-9,Qingdao,hot
cn-north-9,Qingdao,hot
cn-north-9,Wenzhou,warm
cn-north-9,Beijing,hot
cn-north-9,Shenzhen,cold
cn-north-9,Xianggang,cold
cn-north-9,Tianjin,hot
cn-north-9,Ningbo,warm
cn-north-9,Hefei,warm
cn-north-9,Qingdao,hot
cn-north-10,Paris,cold
cn-north-10,Shanghai,warm
cn-north-10,Baoding,hot
cn-north-10,Hohhot,hot
cn-north-10,Madrid,cold
cn-north-10,Xiamen,cold
cn-north-10,Zhengzhou,hot
cn-north-10,Fuzhou,cold
cn-north-10,Fuzhou,cold
cn-north-10,Beijing,hot
cn-north-10,Qingdao,hot
cn-north-10,Qingdao,hot
cn-north-10,Wenzhou,warm
cn-north-10,Beijing,hot
cn-north-10,Shenzhen,cold
cn-north-10,Xianggang,cold
cn-north-10,Tianjin,hot
cn-north-10,Ningbo,warm
cn-north-10,Hefei,warm
cn-north-10,Qingdao,hot
cn-north-11,Paris,cold
cn-north-11,Shanghai,warm
cn-north-11,Baoding,hot
cn-north-11,Hohhot,hot
cn-north-11,Madrid,cold
cn-north-11,Xiamen,cold
cn-north-11,Zhengzhou,hot
cn-north-11,Fuzhou,cold
cn-north-11,Fuzhou,cold
cn-north-11,Beijing,hot
cn-north-11,Qingdao,hot
cn-north-11,Qingdao,hot
cn-north-11,Wenzhou,warm
cn-north-11,Beijing,hot
cn-north-11,Shenzhen,cold
cn-north-11,Xianggang,cold
cn-north-11,Tianjin,hot
cn-north-11,Ningbo,warm
cn-north-11,Hefei,warm
cn-north-11,Qingdao,hot
cn-north-12,Paris,cold
cn-north-12,Shanghai,warm
cn-north-12,Baoding,hot
cn-north-12,Hohhot,hot
cn-north-12,Madrid,cold
cn-north-12,Xiamen,cold
cn-north-12,Zhengzhou,hot
cn-north-12,Fuzhou,cold
cn-north-12,Fuzhou,cold
cn-north-12,Beijing,hot
cn-north-12,Qingdao,hot
cn-north-12,Qingdao,hot
cn-north-12,Wenzhou,warm
cn-north-12,Beijing,hot
cn-north-12,Shenzhen,cold
cn-north-12,Xianggang,cold
cn-north-12,Tianjin,hot
cn-north-12,Ningbo,warm
cn-north-12,Hefei,warm
cn-north-12,Qingdao,hot
cn-north-13,Paris,cold
cn-north-13,Shanghai,warm
cn-north-13,Baoding,hot
cn-north-13,Hohhot,hot
cn-north-13,Madrid,cold
cn-north-13,Xiamen,cold
cn-north-13,Zhengzhou,hot
cn-north-13,Fuzhou,cold
cn-north-13,Fuzhou,cold
cn-north-13,Beijing,hot
cn-north-13,Qingdao,hot
cn-north-13,Qingdao,hot
cn-north-13,Wenzhou,warm
cn-north-13,Beijing,hot
cn-north-13,Shenzhen,cold
cn-north-13,Xianggang,cold
cn-north-13,Tianjin,hot
cn-north-13,Ningbo,warm
cn-north-13,Hefei,warm
cn-north-13,Qingdao,hot
cn-north-14,Paris,cold
cn-north-14,Shanghai,warm
cn-north-14,Baoding,hot
cn-north-14,Hohhot,hot
cn-north-14,Madrid,cold
cn-north-14,Xiamen,cold
cn-north-14,Zhengzhou,hot
cn-north-14,Fuzhou,cold
cn-north-14,Fuzhou,cold
cn-north-14,Beijing,hot
cn-north-14,Qingdao,hot
cn-north-14,Qingdao,hot
cn-north-14,Wenzhou,warm
cn-north-14,Beijing,hot
cn-north-14,Shenzhen,cold
cn-north-14,Xianggang,cold
cn-north-14,Tianjin,hot
cn-north-14,Ningbo,warm
cn-north-14,Hefei,warm
cn-north-14,Qingdao,hot
cn-north-15,Paris,cold
cn-north-15,Shanghai,warm
cn-north-15,Baoding,hot
cn-north-15,Hohhot,hot
cn-north-15,Madrid,cold
cn-north-15,Xiamen,cold
cn-north-15,Zhengzhou,hot
cn-north-15,Fuzhou,cold
cn-north-15,Fuzhou,cold
cn-north-15,Beijing,hot
cn-north-15,Qingdao,hot
cn-north-15,Qingdao,hot
cn-north-15,Wenzhou,warm
cn-north-15,Beijing,hot
cn-north-15,Shenzhen,cold
cn-north-15,Xianggang,cold
cn-north-15,Tianjin,hot
cn-north-15,Ningbo,warm
cn-north-15,Hefei,warm
cn-north-15,Qingdao,hot
cn-north-16,Paris,cold
cn-north-16,Shanghai,warm
cn-north-16,Baoding,hot
cn-north-16,Hohhot,hot
cn-north-16,Madrid,cold
cn-north-16,Xiamen,cold
cn-north-16,Zhengzhou,hot
cn-north-16,Fuzhou,cold
cn-north-16,Fuzhou,cold
cn-north-16,Beijing,hot
cn-north-16,Qingdao,hot
cn-north-16,Qingdao,hot
cn-north-16,Wenzhou,warm
cn-north-16,Beijing,hot
cn-north-16,Shenzhen,cold
cn-north-16,Xianggang,cold
cn-north-16,Tianjin,hot
cn-north-16,Ningbo,warm
cn-north-16,Hefei,warm
cn-north-16,Qingdao,hot
cn-north-17,Paris,cold
cn-north-17,Shanghai,warm
cn-north-17,Baoding,hot
cn-north-17,Hohhot,hot
cn-north-17,Madrid,cold
cn-north-17,Xiamen,cold
cn-north-17,Zhengzhou,hot
cn-north-17,Fuzhou,cold
cn-north-17,Fuzhou,cold
cn-north-17,Beijing,hot
cn-north-17,Qingdao,hot
cn-north-17,Qingdao,hot
cn-north-17,Wenzhou,warm
cn-north-17,Beijing,hot
cn-north-17,Shenzhen,cold
cn-north-17,Xianggang,cold
cn-north-17,Tianjin,hot
cn-north-17,Ningbo,warm
cn-north-17,Hefei,warm
cn-north-17,Qingdao,hot
cn-north-18,Paris,cold
cn-north-18,Shanghai,warm
cn-north-18,Baoding,hot
cn-north-18,Hohhot,hot
cn-north-18,Madrid,cold
cn-north-18,Xiamen,cold
cn-north-18,Zhengzhou,hot
cn-north-18,Fuzhou,cold
cn-north-18,Fuzhou,cold
cn-north-18,Beijing,hot
cn-north-18,Qingdao,hot
cn-north-18,Qingdao,hot
cn-north-18,Wenzhou,warm
cn-north-18,Beijing,hot
cn-north-18,Shenzhen,cold
cn-north-18,Xianggang,cold
cn-north-18,Tianjin,hot
cn-north-18,Ningbo,warm
cn-north-18,Hefei,warm
cn-north-18,Qingdao,hot
cn-north-19,Paris,cold
cn-north-19,Shanghai,warm
cn-north-19,Baoding,hot
cn-north-19,Hohhot,hot
cn-north-19,Madrid,cold
cn-north-19,Xiamen,cold
cn-north-19,Zhengzhou,hot
cn-north-19,Fuzhou,cold
cn-north-19,Fuzhou,cold
cn-north-19,Beijing,hot
cn-north-19,Qingdao,hot
cn-north-19,Qingdao,hot
cn-north-19,Wenzhou,warm
cn-north-19,Beijing,hot
cn-north-19,Shenzhen,cold
cn-north-19,Xianggang,cold
cn-north-19,Tianjin,hot
cn-north-19,Ningbo,warm
cn-north-19,Hefei,warm
cn-north-19,Qingdao,hot
cn-north-20,Paris,cold
cn-north-20,Shanghai,warm
cn-north-20,Baoding,hot
cn-north-20,Hohhot,hot
cn-north-20,Madrid,cold
cn-north-20,Xiamen,cold
cn-north-20,Zhengzhou,hot
cn-north-20,Fuzhou,cold
cn-north-20,Fuzhou,cold
cn-north-20,Beijing,hot
cn-north-20,Qingdao,hot
cn-north-20,Qingdao,hot
cn-north-20,Wenzhou,warm
cn-north-20,Beijing,hot
cn-north-20,Shenzhen,cold
cn-north-20,Xianggang,cold
cn-north-20,Tianjin,hot
cn-north-20,Ningbo,warm
cn-north-20,Hefei,warm
cn-north-20,Qingdao,hot
cn-north-21,Paris,cold
cn-north-21,Shanghai,warm
cn-north-21,Baoding,hot
cn-north-21,Hohhot,hot
cn-north-21,Madrid,cold
cn-north-21,Xiamen,cold
cn-north-21,Zhengzhou,hot
cn-north-21,Fuzhou,cold
cn-north-21,Fuzhou,cold
cn-north-21,Beijing,hot
cn-north-21,Qingdao,hot
cn-north-21,Qingdao,hot
cn-north-21,Wenzhou,warm
cn-north-21,Beijing,hot
cn-north-21,Shenzhen,cold
cn-north-21,Xianggang,cold
cn-north-21,Tianjin,hot
cn-north-21,Ningbo,warm
cn-north-21,Hefei,warm
cn-north-21,Qingdao,hot
cn-north-22,Paris,cold
cn-north-22,Shanghai,warm
cn-north-22,Baoding,hot
cn-north-22,Hohhot,hot
cn-north-22,Madrid,cold
cn-north-22,Xiamen,cold
cn-north-22,Zhengzhou,hot
cn-north-22,Fuzhou,cold
cn-north-22,Fuzhou,cold
cn-north-22,Beijing,hot
cn-north-22,Qingdao,hot
cn-north-22,Qingdao,hot
cn-north-22,Wenzhou,warm
cn-north-22,Beijing,hot
cn-north-22,Shenzhen,cold
cn-north-22,Xianggang,cold
cn-north-22,Tianjin,hot
cn-north-22,Ningbo,warm
cn-north-22,Hefei,warm
cn-north-22,Qingdao,hot
cn-north-23,Paris,cold
cn-north-23,Shanghai,warm
cn-north-23,Baoding,hot
cn-north-23,Hohhot,hot
cn-north-23,Madrid,cold
cn-north-23,Xiamen,cold
cn-north-23,Zhengzhou,hot
cn-north-23,Fuzhou,cold
cn-north-23,Fuzhou,cold
cn-north-23,Beijing,hot
cn-north-23,Qingdao,hot
cn-north-23,Qingdao,hot
cn-north-23,Wenzhou,warm
cn-north-23,Beijing,hot
cn-north-23,Shenzhen,cold
cn-north-23,Xianggang,cold
cn-north-23,Tianjin,hot
cn-north-23,Ningbo,warm
cn-north-23,Hefei,warm
cn-north-23,Qingdao,hot
cn-north-24,Paris,cold
cn-north-24,Shanghai,warm
cn-north-24,Baoding,hot
cn-north-24,Hohhot,hot
cn-north-24,Madrid,cold
cn-north-24,Xiamen,cold
cn-north-24,Zhengzhou,hot
cn-north-24,Fuzhou,cold
cn-north-24,Fuzhou,cold
cn-north-24,Beijing,hot
cn-north-24,Qingdao,hot
cn-north-24,Qingdao,hot
cn-north-24,Wenzhou,warm
cn-north-24,Beijing,hot
cn-north-24,Shenzhen,cold
cn-north-24,Xianggang,cold
cn-north-24,Tianjin,hot
cn-north-24,Ningbo,warm
cn-north-24,Hefei,warm
cn-north-24,Qingdao,hot
cn-north-25,Paris,cold
cn-north-25,Shanghai,warm
cn-north-25,Baoding,hot
cn-north-25,Hohhot,hot
cn-north-25,Madrid,cold
cn-north-25,Xiamen,cold
cn-north-25,Zhengzhou,hot
cn-north-25,Fuzhou,cold
cn-north-25,Fuzhou,cold
cn-north-25,Beijing,hot
cn-north-25,Qingdao,hot
cn-north-25,Qingdao,hot
cn-north-25,Wenzhou,warm
cn-north-25,Beijing,hot
cn-north-25,Shenzhen,cold
cn-north-25,Xianggang,cold
cn-north-25,Tianjin,hot
cn-north-25,Ningbo,warm
cn-north-25,Hefei,warm
cn-north-25,Qingdao,hot
cn-north-26,Paris,cold
cn-north-26,Shanghai,warm
cn-north-26,Baoding,hot
cn-north-26,Hohhot,hot
cn-north-26,Madrid,cold
cn-north-26,Xiamen,cold
cn-north-26,Zhengzhou,hot
cn-north-26,Fuzhou,cold
cn-north-26,Fuzhou,cold
cn-north-26,Beijing,hot
cn-north-26,Qingdao,hot
cn-north-26,Qingdao,hot
cn-north-26,Wenzhou,warm
cn-north-26,Beijing,hot
cn-north-26,Shenzhen,cold
cn-north-26,Xianggang,cold
cn-north-26,Tianjin,hot
cn-north-26,Ningbo,warm
cn-north-26,Hefei,warm
cn-north-26,Qingdao,hot
cn-north-27,Paris,cold
cn-north-27,Shanghai,warm
cn-north-27,Baoding,hot
cn-north-27,Hohhot,hot
cn-north-27,Madrid,cold
cn-north-27,Xiamen,cold
cn-north-27,Zhengzhou,hot
cn-north-27,Fuzhou,cold
cn-north-27,Fuzhou,cold
cn-north-27,Beijing,hot
cn-north-27,Qingdao,hot
cn-north-27,Qingdao,hot
cn-north-27,Wenzhou,warm
cn-north-27,Beijing,hot
cn-north-27,Shenzhen,cold
cn-north-27,Xianggang,cold
cn-north-27,Tianjin,hot
cn-north-27,Ningbo,warm
cn-north-27,Hefei,warm
cn-north-27,Qingdao,hot
cn-north-28,Paris,cold
cn-north-28,Shanghai,warm
cn-north-28,Baoding,hot
cn-north-28,Hohhot,hot
cn-north-28,Madrid,cold
cn-north-28,Xiamen,cold
cn-north-28,Zhengzhou,hot
cn-north-28,Fuzhou,cold
cn-north-28,Fuzhou,cold
cn-north-28,Beijing,hot
cn-north-28,Qingdao,hot
cn-north-28,Qingdao,hot
cn-north-28,Wenzhou,warm
cn-north-28,Beijing,hot
cn-north-28,Shenzhen,cold
cn-north-28,Xianggang,cold
cn-north-28,Tianjin,hot
cn-north-28,Ningbo,warm
cn-north-28,Hefei,warm
cn-north-28,Qingdao,hot
cn-north-29,Paris,cold
cn-north-29,Shanghai,warm
cn-north-29,Baoding,hot
cn-north-29,Hohhot,hot
cn-north-29,Madrid,cold
cn-north-29,Xiamen,cold
cn-north-29,Zhengzhou,hot
cn-north-29,Fuzhou,cold
cn-north-29,Fuzhou,cold
cn-north-29,Beijing,hot
cn-north-29,Qingdao,hot
cn-north-29,Qingdao,hot
cn-north-29,Wenzhou,warm
cn-north-29,Beijing,hot
cn-north-29,Shenzhen,cold
cn-north-29,Xianggang,cold
cn-north-29,Tianjin,hot
cn-north-29,Ningbo,warm
cn-north-29,Hefei,warm
cn-north-29,Qingdao,hot
cn-north-30,Paris,cold
cn-north-30,Shanghai,warm
cn-north-30,Baoding,hot
cn-north-30,Hohhot,hot
cn-north-30,Madrid,cold
cn-north-30,Xiamen,cold
cn-north-30,Zhengzhou,hot
cn-north-30,Fuzhou,cold
cn-north-30,Fuzhou,cold
cn-north-30,Beijing,hot
cn-north-30,Qingdao,hot
cn-north-30,Qingdao,hot
cn-north-30,Wenzhou,warm
cn-north-30,Beijing,hot
cn-north-30,Shenzhen,cold
cn-north-30,Xianggang,cold
cn-north-30,Tianjin,hot
cn-north-30,Ningbo,warm
cn-north-30,Hefei,warm
cn-north-30,Qingdao,hot
cn-north-31,Paris,cold
cn-north-31,Shanghai,warm
cn-north-31,Baoding,hot
cn-north-31,Hohhot,hot
cn-north-31,Madrid,cold
cn-north-31,Xiamen,cold
cn-north-31,Zhengzhou,hot
cn-north-31,Fuzhou,cold
cn-north-31,Fuzhou,cold
cn-north-31,Beijing,hot
cn-north-31,Qingdao,hot
cn-north-31,Qingdao,hot
cn-north-31,Wenzhou,warm
cn-north-31,Beijing,hot
cn-north-31,Shenzhen,cold
cn-north-31,Xianggang,cold
cn-north-31,Tianjin,hot
cn-north-31,Ningbo,warm
cn-north-31,Hefei,warm
cn-north-31,Qingdao,hot
cn-north-32,Paris,cold
cn-north-32,Shanghai,warm
cn-north-32,Baoding,hot
cn-north-32,Hohhot,hot
cn-north-32,Madrid,cold
cn-north-32,Xiamen,cold
cn-north-32,Zhengzhou,hot
cn-north-32,Fuzhou,cold
cn-north-32,Fuzhou,cold
cn-north-32,Beijing,hot
cn-north-32,Qingdao,hot
cn-north-32,Qingdao,hot
cn-north-32,Wenzhou,warm
cn-north-32,Beijing,hot
cn-north-32,Shenzhen,cold
cn-north-32,Xianggang,cold
cn-north-32,Tianjin,hot
cn-north-32,Ningbo,warm
cn-north-32,Hefei,warm
cn-north-32,Qingdao,hot
cn-north-33,Paris,cold
cn-north-33,Shanghai,warm
cn-north-33,Baoding,hot
cn-north-33,Hohhot,hot
cn-north-33,Madrid,cold
cn-north-33,Xiamen,cold
cn-north-33,Zhengzhou,hot
cn-north-33,Fuzhou,cold
cn-north-33,Fuzhou,cold
cn-north-33,Beijing,hot
cn-north-33,Qingdao,hot
cn-north-33,Qingdao,hot
cn-north-33,Wenzhou,warm
cn-north-33,Beijing,hot
cn-north-33,Shenzhen,cold
cn-north-33,Xianggang,cold
cn-north-33,Tianjin,hot
cn-north-33,Ningbo,warm
cn-north-33,Hefei,warm
cn-north-33,Qingdao,hot
cn-north-34,Paris,cold
cn-north-34,Shanghai,warm
cn-north-34,Baoding,hot
cn-north-34,Hohhot,hot
cn-north-34,Madrid,cold
cn-north-34,Xiamen,cold
cn-north-34,Zhengzhou,hot
cn-north-34,Fuzhou,cold
cn-north-34,Fuzhou,cold
cn-north-34,Beijing,hot
cn-north-34,Qingdao,hot
cn-north-34,Qingdao,hot
cn-north-34,Wenzhou,warm
cn-north-34,Beijing,hot
cn-north-34,Shenzhen,cold
cn-north-34,Xianggang,cold
cn-north-34,Tianjin,hot
cn-north-34,Ningbo,warm
cn-north-34,Hefei,warm
cn-north-34,Qingdao,hot
cn-north-35,Paris,cold
cn-north-35,Shanghai,warm
cn-north-35,Baoding,hot
cn-north-35,Hohhot,hot
cn-north-35,Madrid,cold
cn-north-35,Xiamen,cold
cn-north-35,Zhengzhou,hot
cn-north-35,Fuzhou,cold
cn-north-35,Fuzhou,cold
cn-north-35,Beijing,hot
cn-north-35,Qingdao,hot
cn-north-35,Qingdao,hot
cn-north-35,Wenzhou,warm
cn-north-35,Beijing,hot
cn-north-35,Shenzhen,cold
cn-north-35,Xianggang,cold
cn-north-35,Tianjin,hot
cn-north-35,Ningbo,warm
cn-north-35,Hefei,warm
cn-north-35,Qingdao,hot
cn-north-36,Paris,cold
cn-north-36,Shanghai,warm
cn-north-36,Baoding,hot
cn-north-36,Hohhot,hot
cn-north-36,Madrid,cold
cn-north-36,Xiamen,cold
cn-north-36,Zhengzhou,hot
cn-north-36,Fuzhou,cold
cn-north-36,Fuzhou,cold
cn-north-36,Beijing,hot
cn-north-36,Qingdao,hot
cn-north-36,Qingdao,hot
cn-north-36,Wenzhou,warm
cn-north-36,Beijing,hot
cn-north-36,Shenzhen,cold
cn-north-36,Xianggang,cold
cn-north-36,Tianjin,hot
cn-north-36,Ningbo,warm
cn-north-36,Hefei,warm
cn-north-36,Qingdao,hot
cn-north-37,Paris,cold
cn-north-37,Shanghai,warm
cn-north-37,Baoding,hot
cn-north-37,Hohhot,hot
cn-north-37,Madrid,cold
cn-north-37,Xiamen,cold
cn-north-37,Zhengzhou,hot
cn-north-37,Fuzhou,cold
cn-north-37,Fuzhou,cold
cn-north-37,Beijing,hot
cn-north-37,Qingdao,hot
cn-north-37,Qingdao,hot
cn-north-37,Wenzhou,warm
cn-north-37,Beijing,hot
cn-north-37,Shenzhen,cold
cn-north-37,Xianggang,cold
cn-north-37,Tianjin,hot
cn-north-37,Ningbo,warm
cn-north-37,Hefei,warm
cn-north-37,Qingdao,hot
cn-north-38,Paris,cold
cn-north-38,Shanghai,warm
cn-north-38,Baoding,hot
cn-north-38,Hohhot,hot
cn-north-38,Madrid,cold
cn-north-38,Xiamen,cold
cn-north-38,Zhengzhou,hot
cn-north-38,Fuzhou,cold
cn-north-38,Fuzhou,cold
cn-north-38,Beijing,hot
cn-north-38,Qingdao,hot
cn-north-38,Qingdao,hot
cn-north-38,Wenzhou,warm
cn-north-38,Beijing,hot
cn-north-38,Shenzhen,cold
cn-north-38,Xianggang,cold
cn-north-38,Tianjin,hot
cn-north-38,Ningbo,warm
cn-north-38,Hefei,warm
cn-north-38,Qingdao,hot
cn-north-39,Paris,cold
cn-north-39,Shanghai,warm
cn-north-39,Baoding,hot
cn-north-39,Hohhot,hot
cn-north-39,Madrid,cold
cn-north-39,Xiamen,cold
cn-north-39,Zhengzhou,hot
cn-north-39,Fuzhou,cold
cn-north-39,Fuzhou,cold
cn-north-39,Beijing,hot
cn-north-39,Qingdao,hot
cn-north-39,Qingdao,hot
cn-north-39,Wenzhou,warm
cn-north-39,Beijing,hot
cn-north-39,Shenzhen,cold
cn-north-39,Xianggang,cold
cn-north-39,Tianjin,hot
cn-north-39,Ningbo,warm
cn-north-39,Hefei,warm
cn-north-39,Qingdao,hot
cn-north-40,Paris,cold
cn-north-40,Shanghai,warm
cn-north-40,Baoding,hot
cn-north-40,Hohhot,hot
cn-north-40,Madrid,cold
cn-north-40,Xiamen,cold
cn-north-40,Zhengzhou,hot
cn-north-40,Fuzhou,cold
cn-north-40,Fuzhou,cold
cn-north-40,Beijing,hot
cn-north-40,Qingdao,hot
cn-north-40,Qingdao,hot
cn-north-40,Wenzhou,warm
cn-north-40,Beijing,hot
cn-north-40,Shenzhen,cold
cn-north-40,Xianggang,cold
cn-north-40,Tianjin,hot
cn-north-40,Ningbo,warm
cn-north-40,Hefei,warm
cn-north-40,Qingdao,hot
cn-north-41,Paris,cold
cn-north-41,Shanghai,warm
cn-north-41,Baoding,hot
cn-north-41,Hohhot,hot
cn-north-41,Madrid,cold
cn-north-41,Xiamen,cold
cn-north-41,Zhengzhou,hot
cn-north-41,Fuzhou,cold
cn-north-41,Fuzhou,cold
cn-north-41,Beijing,hot
cn-north-41,Qingdao,hot
cn-north-41,Qingdao,hot
cn-north-41,Wenzhou,warm
cn-north-41,Beijing,hot
cn-north-41,Shenzhen,cold
cn-north-41,Xianggang,cold
cn-north-41,Tianjin,hot
cn-north-41,Ningbo,warm
cn-north-41,Hefei,warm
cn-north-41,Qingdao,hot
cn-north-42,Paris,cold
cn-north-42,Shanghai,warm
cn-north-42,Baoding,hot
cn-north-42,Hohhot,hot
cn-north-42,Madrid,cold
cn-north-42,Xiamen,cold
cn-north-42,Zhengzhou,hot
cn-north-42,Fuzhou,cold
cn-north-42,Fuzhou,cold
cn-north-42,Beijing,hot
cn-north-42,Qingdao,hot
cn-north-42,Qingdao,hot
cn-north-42,Wenzhou,warm
cn-north-42,Beijing,hot
cn-north-42,Shenzhen,cold
cn-north-42,Xianggang,cold
cn-north-42,Tianjin,hot
cn-north-42,Ningbo,warm
cn-north-42,Hefei,warm
cn-north-42,Qingdao,hot
cn-north-43,Paris,cold
cn-north-43,Shanghai,warm
cn-north-43,Baoding,hot
cn-north-43,Hohhot,hot
cn-north-43,Madrid,cold
cn-north-43,Xiamen,cold
cn-north-43,Zhengzhou,hot
cn-north-43,Fuzhou,cold
cn-north-43,Fuzhou,cold
cn-north-43,Beijing,hot
cn-north-43,Qingdao,hot
cn-north-43,Qingdao,hot
cn-north-43,Wenzhou,warm
cn-north-43,Beijing,hot
cn-north-43,Shenzhen,cold
