Region1,Region2,Delay,Bandwidth
cn-north-0,cn-north-56,62,579
cn-north-0,cn-north-57,21,781
cn-north-0,cn-north-58,80,583
cn-north-0,cn-north-59,84,933
cn-north-0,cn-north-60,27,738
cn-north-0,cn-north-61,22,586
cn-north-0,cn-north-62,91,957
cn-north-0,cn-north-63,38,795
cn-north-0,cn-north-64,98,691
cn-north-0,cn-north-65,38,845
cn-north-0,cn-north-66,86,535
cn-north-0,cn-north-67,71,584
cn-north-0,cn-north-68,24,948
cn-north-0,cn-north-69,46,509
cn-north-0,cn-north-70,35,714
cn-north-0,cn-north-71,80,891
cn-north-0,cn-north-72,54,559
cn-north-0,cn-north-73,56,693
cn-north-0,cn-north-74,84,721
cn-north-0,cn-north-75,27,611
cn-north-0,cn-north-76,95,641
cn-north-0,cn-north-77,38,563
cn-north-0,cn-north-78,71,812
cn-north-0,cn-north-79,48,516
cn-north-0,cn-north-80,16,782
cn-north-0,cn-north-81,58,848
cn-north-0,cn-north-82,34,796
cn-north-0,cn-north-83,49,969
cn-north-0,cn-north-84,73,727
cn-north-0,cn-north-85,65,625
cn-north-0,cn-north-86,100,619
cn-north-0,cn-north-87,54,838
cn-north-0,cn-north-88,93,519
cn-north-0,cn-north-89,79,981
cn-north-0,cn-north-90,54,999
cn-north-0,cn-north-91,81,705
cn-north-0,cn-north-92,86,835
cn-north-0,cn-north-93,39,639
cn-north-0,cn-north-94,15,890
cn-north-0,cn-north-95,55,714
cn-north-0,cn-north-96,20,542
cn-north-0,cn-north-97,53,547
cn-north-0,cn-north-98,71,561
cn-north-0,cn-north-99,46,673
cn-north-0,cn-south-0,36,714
cn-north-0,cn-south-1,90,808
cn-north-0,cn-south-2,44,942
cn-north-0,cn-south-3,62,804
cn-north-0,cn-south-4,33,558
cn-north-0,cn-south-5,35,713
cn-north-0,cn-south-6,54,755
cn-north-0,cn-south-7,92,963
cn-north-0,cn-south-8,12,786
cn-north-0,cn-south-9,63,906
cn-north-0,cn-south-10,86,801
cn-north-0,cn-south-11,43,632
cn-north-0,cn-south-12,51,658
cn-north-0,cn-south-13,10,529
cn-north-0,cn-south-14,34,989
cn-north-0,cn-south-15,90,736
cn-north-0,cn-south-16,36,915
cn-north-0,cn-south-17,48,588
cn-north-0,cn-south-18,97,530
cn-north-0,cn-south-19,86,877
cn-north-0,cn-south-20,33,632
cn-north-0,cn-south-21,66,791
cn-north-0,cn-south-22,37,787
cn-north-0,cn-south-23,11,681
cn-north-0,cn-south-24,14,718
cn-north-0,cn-south-25,57,757
cn-north-0,cn-south-26,14,789
cn-north-0,cn-south-27,49,736
cn-north-0,cn-south-28,21,712
cn-north-0,cn-south-29,17,579
cn-north-0,cn-south-30,21,850
cn-north-0,cn-south-31,89,580
cn-north-0,cn-south-32,86,734
cn-north-0,cn-south-33,64,805
cn-north-0,cn-south-34,62,864
cn-north-0,cn-south-35,10,808
cn-north-0,cn-south-36,60,814
cn-north-0,cn-south-37,27,939
cn-north-0,cn-south-38,78,924
cn-north-0,cn-south-39,11,766
cn-north-0,cn-south-40,96,555
cn-north-0,cn-south-41,20,873
cn-north-0,cn-south-42,38,642
cn-north-0,cn-south-43,69,744
cn-north-0,cn-south-44,68,590
cn-north-0,cn-south-45,21,993
cn-north-0,cn-south-46,31,582
cn-north-0,cn-south-47,65,932
cn-north-0,cn-south-48,16,846
cn-north-0,cn-south-49,98,563
cn-north-0,cn-south-50,41,762
cn-north-0,cn-south-51,11,533
cn-north-0,cn-south-52,88,849
cn-north-0,cn-south-53,77,542
cn-north-0,cn-south-54,26,781
cn-north-0,cn-south-55,15,816
cn-north-0,cn-south-56,97,544
cn-north-0,cn-south-57,56,602
cn-north-0,cn-south-58,77,556
cn-north-0,cn-south-59,75,729
cn-north-0,cn-south-60,12,810
cn-north-0,cn-south-61,75,735
cn-north-0,cn-south-62,62,846
cn-north-0,cn-south-63,39,505
cn-north-0,cn-south-64,90,720
cn-north-0,cn-south-65,86,961
cn-north-0,cn-south-66,61,529
cn-north-0,cn-south-67,78,563
cn-north-0,cn-south-68,81,740
cn-north-0,cn-south-69,29,539
cn-north-0,cn-south-70,59,660
cn-north-0,cn-south-71,42,684
cn-north-0,cn-south-72,15,896
cn-north-0,cn-south-73,93,931
cn-north-0,cn-south-74,46,746
cn-north-0,cn-south-75,79,894
cn-north-0,cn-south-76,64,579
cn-north-0,cn-south-77,78,829
cn-north-0,cn-south-78,31,644
cn-north-0,cn-south-79,42,598
cn-north-0,cn-south-80,25,832
cn-north-0,cn-south-81,39,738
cn-north-0,cn-south-82,82,541
cn-north-0,cn-south-83,98,626
cn-north-0,cn-south-84,65,885
cn-north-0,cn-south-85,17,616
cn-north-0,cn-south-86,65,799
cn-north-0,cn-south-87,80,914
cn-north-0,cn-south-88,11,566
cn-north-0,cn-south-89,66,864
cn-north-0,cn-south-90,45,791
cn-north-0,cn-south-91,12,549
cn-north-0,cn-south-92,17,575
cn-north-0,cn-south-93,33,909
cn-north-0,cn-south-94,48,638
cn-north-0,cn-south-95,95,521
cn-north-0,cn-south-96,30,985
cn-north-0,cn-south-97,87,606
cn-north-0,cn-south-98,26,654
cn-north-0,cn-south-99,72,582
cn-north-0,cn-east-0,64,897
cn-north-0,cn-east-1,32,880
cn-north-0,cn-east-2,17,678
cn-north-0,cn-east-3,29,560
cn-north-0,cn-east-4,72,501
cn-north-0,cn-east-5,33,911
cn-north-0,cn-east-6,79,780
cn-north-0,cn-east-7,99,921
cn-north-0,cn-east-8,27,521
cn-north-0,cn-east-9,67,875
cn-north-0,cn-east-10,55,598
cn-north-0,cn-east-11,16,918
cn-north-0,cn-east-12,79,663
cn-north-0,cn-east-13,82,827
cn-north-0,cn-east-14,97,764
cn-north-0,cn-east-15,20,781
cn-north-0,cn-east-16,89,851
cn-north-0,cn-east-17,91,671
cn-north-0,cn-east-18,42,756
cn-north-0,cn-east-19,81,626
cn-north-0,cn-east-20,15,605
cn-north-0,cn-east-21,67,906
cn-north-0,cn-east-22,19,628
cn-north-0,cn-east-23,68,614
cn-north-0,cn-east-24,21,628
cn-north-0,cn-east-25,44,828
cn-north-0,cn-east-26,19,592
cn-north-0,cn-east-27,16,930
cn-north-0,cn-east-28,61,611
cn-north-0,cn-east-29,38,505
cn-north-0,cn-east-30,12,823
cn-north-0,cn-east-31,26,513
cn-north-0,cn-east-32,43,510
cn-north-0,cn-east-33,43,693
cn-north-0,cn-east-34,34,954
cn-north-0,cn-east-35,53,784
cn-north-0,cn-east-36,72,976
cn-north-0,cn-east-37,86,654
cn-north-0,cn-east-38,92,653
cn-north-0,cn-east-39,21,794
cn-north-0,cn-east-40,78,630
cn-north-0,cn-east-41,10,781
cn-north-0,cn-east-42,92,553
cn-north-0,cn-east-43,36,616
cn-north-0,cn-east-44,31,641
cn-north-0,cn-east-45,98,942
cn-north-0,cn-east-46,95,865
cn-north-0,cn-east-47,74,764
cn-north-0,cn-east-48,78,805
cn-north-0,cn-east-49,54,523
cn-north-0,cn-east-50,37,704
cn-north-0,cn-east-51,38,919
cn-north-0,cn-east-52,44,642
cn-north-0,cn-east-53,22,869
cn-north-0,cn-east-54,33,735
cn-north-0,cn-east-55,69,875
cn-north-0,cn-east-56,49,822
cn-north-0,cn-east-57,61,922
cn-north-0,cn-east-58,28,965
cn-north-0,cn-east-59,28,730
cn-north-0,cn-east-60,39,676
cn-north-0,cn-east-61,82,610
cn-north-0,cn-east-62,44,647
cn-north-0,cn-east-63,76,895
cn-north-0,cn-east-64,31,561
cn-north-0,cn-east-65,94,970
cn-north-0,cn-east-66,54,690
cn-north-0,cn-east-67,30,846
cn-north-0,cn-east-68,55,827
cn-north-0,cn-east-69,57,774
cn-north-0,cn-east-70,38,930
cn-north-0,cn-east-71,18,739
cn-north-0,cn-east-72,68,707
cn-north-0,cn-east-73,56,699
cn-north-0,cn-east-74,46,609
cn-north-0,cn-east-75,73,525
cn-north-0,cn-east-76,68,546
cn-north-0,cn-east-77,66,818
cn-north-0,cn-east-78,28,774
cn-north-0,cn-east-79,43,820
cn-north-0,cn-east-80,67,987
cn-north-0,cn-east-81,95,859
cn-north-0,cn-east-82,42,807
cn-north-0,cn-east-83,30,690
cn-north-0,cn-east-84,61,887
cn-north-0,cn-east-85,54,851
cn-north-0,cn-east-86,90,882
cn-north-0,cn-east-87,12,903
cn-north-0,cn-east-88,29,948
cn-north-0,cn-east-89,10,885
cn-north-0,cn-east-90,41,827
cn-north-0,cn-east-91,68,950
cn-north-0,cn-east-92,59,927
cn-north-0,cn-east-93,62,748
cn-north-0,cn-east-94,75,653
cn-north-0,cn-east-95,81,902
cn-north-0,cn-east-96,62,920
cn-north-0,cn-east-97,79,941
cn-north-0,cn-east-98,43,882
cn-north-0,cn-east-99,39,797
cn-north-0,cn-southwest-0,94,986
cn-north-0,cn-southwest-1,59,769
cn-north-0,cn-southwest-2,76,764
cn-north-0,cn-southwest-3,71,555
cn-north-0,cn-southwest-4,46,785
cn-north-0,cn-southwest-5,69,826
cn-north-0,cn-southwest-6,49,767
cn-north-0,cn-southwest-7,71,909
cn-north-0,cn-southwest-8,33,924
cn-north-0,cn-southwest-9,64,566
cn-north-0,cn-southwest-10,38,773
cn-north-0,cn-southwest-11,73,963
cn-north-0,cn-southwest-12,44,568
cn-north-0,cn-southwest-13,98,780
cn-north-0,cn-southwest-14,50,518
cn-north-0,cn-southwest-15,80,608
cn-north-0,cn-southwest-16,88,918
cn-north-0,cn-southwest-17,86,761
cn-north-0,cn-southwest-18,67,729
cn-north-0,cn-southwest-19,86,704
cn-north-0,cn-southwest-20,68,747
cn-north-0,cn-southwest-21,16,681
cn-north-0,cn-southwest-22,37,645
cn-north-0,cn-southwest-23,20,501
cn-north-0,cn-southwest-24,31,524
cn-north-0,cn-southwest-25,49,749
cn-north-0,cn-southwest-26,76,734
cn-north-0,cn-southwest-27,52,992
cn-north-0,cn-southwest-28,10,891
cn-north-0,cn-southwest-29,73,546
cn-north-0,cn-southwest-30,89,772
cn-north-0,cn-southwest-31,44,650
cn-north-0,cn-southwest-32,43,916
cn-north-0,cn-southwest-33,84,720
cn-north-0,cn-southwest-34,87,635
cn-north-0,cn-southwest-35,27,677
cn-north-0,cn-southwest-36,15,888
cn-north-0,cn-southwest-37,62,712
cn-north-0,cn-southwest-38,50,978
cn-north-0,cn-southwest-39,69,600
cn-north-0,cn-southwest-40,22,935
cn-north-0,cn-southwest-41,26,944
cn-north-0,cn-southwest-42,12,535
cn-north-0,cn-southwest-43,98,606
cn-north-0,cn-southwest-44,66,515
cn-north-0,cn-southwest-45,56,737
cn-north-0,cn-southwest-46,55,987
cn-north-0,cn-southwest-47,84,853
cn-north-0,cn-southwest-48,47,583
cn-north-0,cn-southwest-49,19,985
cn-north-0,cn-southwest-50,20,733
cn-north-0,cn-southwest-51,16,853
cn-north-0,cn-southwest-52,42,605
cn-north-0,cn-southwest-53,85,856
cn-north-0,cn-southwest-54,37,613
cn-north-0,cn-southwest-55,58,782
cn-north-0,cn-southwest-56,28,803
cn-north-0,cn-southwest-57,14,695
cn-north-0,cn-southwest-58,84,839
cn-north-0,cn-southwest-59,39,997
cn-north-0,cn-southwest-60,43,839
cn-north-0,cn-southwest-61,57,832
cn-north-0,cn-southwest-62,51,603
cn-north-0,cn-southwest-63,52,972
cn-north-0,cn-southwest-64,94,624
cn-north-0,cn-southwest-65,42,689
cn-north-0,cn-southwest-66,39,740
cn-north-0,cn-southwest-67,70,943
cn-north-0,cn-southwest-68,60,507
cn-north-0,cn-southwest-69,71,660
cn-north-0,cn-southwest-70,38,825
cn-north-0,cn-southwest-71,66,812
cn-north-0,cn-southwest-72,46,980
cn-north-0,cn-southwest-73,71,840
cn-north-0,cn-southwest-74,34,550
cn-north-0,cn-southwest-75,82,849
cn-north-0,cn-southwest-76,32,600
cn-north-0,cn-southwest-77,26,786
cn-north-0,cn-southwest-78,96,996
cn-north-0,cn-southwest-79,35,963
cn-north-0,cn-southwest-80,38,849
cn-north-0,cn-southwest-81,31,725
cn-north-0,cn-southwest-82,65,683
cn-north-0,cn-southwest-83,91,759
cn-north-0,cn-southwest-84,48,501
cn-north-0,cn-southwest-85,96,893
cn-north-0,cn-southwest-86,53,803
cn-north-0,cn-southwest-87,85,785
cn-north-0,cn-southwest-88,39,533
cn-north-0,cn-southwest-89,91,884
cn-north-0,cn-southwest-90,33,838
cn-north-0,cn-southwest-91,31,516
cn-north-0,cn-southwest-92,95,674
cn-north-0,cn-southwest-93,49,500
cn-north-0,cn-southwest-94,96,606
cn-north-0,cn-southwest-95,42,671
cn-north-0,cn-southwest-96,99,964
cn-north-0,cn-southwest-97,75,751
cn-north-0,cn-southwest-98,86,831
cn-north-0,cn-southwest-99,68,788
cn-north-0,ap-southeast-0,47,900
cn-north-0,ap-southeast-1,23,685
cn-north-0,ap-southeast-2,69,585
cn-north-0,ap-southeast-3,67,999
cn-north-0,ap-southeast-4,68,810
cn-north-0,ap-southeast-5,43,793
cn-north-0,ap-southeast-6,70,611
cn-north-0,ap-southeast-7,33,778
cn-north-0,ap-southeast-8,43,748
cn-north-0,ap-southeast-9,28,998
cn-north-0,ap-southeast-10,41,852
cn-north-0,ap-southeast-11,46,540
cn-north-0,ap-southeast-12,39,920
cn-north-0,ap-southeast-13,56,860
cn-north-0,ap-southeast-14,46,939
cn-north-0,ap-southeast-15,20,894
cn-north-0,ap-southeast-16,13,660
cn-north-0,ap-southeast-17,61,928
cn-north-0,ap-southeast-18,43,543
cn-north-0,ap-southeast-19,95,541
cn-north-0,ap-southeast-20,63,677
cn-north-0,ap-southeast-21,82,705
cn-north-0,ap-southeast-22,33,962
cn-north-0,ap-southeast-23,14,679
cn-north-0,ap-southeast-24,86,752
cn-north-0,af-0,71,529
cn-north-0,af-1,34,866
cn-north-0,af-2,30,772
cn-north-0,af-3,78,713
cn-north-0,af-4,70,832
cn-north-0,af-5,79,953
cn-north-0,af-6,81,501
cn-north-0,af-7,61,854
cn-north-0,af-8,56,619
cn-north-0,af-9,45,844
cn-north-0,af-10,46,641
cn-north-0,af-11,64,553
cn-north-0,af-12,33,741
cn-north-0,af-13,31,954
cn-north-0,af-14,61,633
cn-north-0,af-15,60,979
cn-north-0,af-16,74,680
cn-north-0,af-17,51,619
cn-north-0,af-18,11,909
cn-north-0,af-19,92,935
cn-north-0,af-20,28,777
cn-north-0,af-21,71,948
cn-north-0,af-22,64,743
cn-north-0,af-23,15,892
cn-north-0,af-24,83,962
cn-north-0,eu-west-0,14,855
cn-north-0,eu-west-1,34,748
cn-north-0,eu-west-2,22,917
cn-north-0,eu-west-3,84,630
cn-north-0,eu-west-4,96,766
cn-north-0,eu-west-5,28,634
cn-north-0,eu-west-6,15,585
cn-north-0,eu-west-7,60,773
cn-north-0,eu-west-8,99,976
cn-north-0,eu-west-9,68,992
cn-north-0,eu-west-10,61,785
cn-north-0,eu-west-11,88,719
cn-north-0,eu-west-12,33,550
cn-north-0,eu-west-13,68,753
cn-north-0,eu-west-14,30,753
cn-north-0,eu-west-15,94,529
cn-north-0,eu-west-16,54,600
cn-north-0,eu-west-17,75,627
cn-north-0,eu-west-18,16,552
cn-north-0,eu-west-19,74,807
cn-north-0,eu-west-20,51,979
cn-north-0,eu-west-21,35,793
cn-north-0,eu-west-22,95,934
cn-north-0,eu-west-23,90,579
cn-north-0,eu-west-24,26,960
cn-north-0,la-0,47,802
cn-north-0,la-1,26,796
cn-north-0,la-2,71,662
cn-north-0,la-3,30,795
cn-north-0,la-4,28,739
cn-north-0,la-5,83,519
cn-north-0,la-6,45,723
cn-north-0,la-7,100,766
cn-north-0,la-8,98,594
cn-north-0,la-9,67,812
cn-north-0,la-10,44,919
cn-north-0,la-11,97,590
cn-north-0,la-12,11,694
cn-north-0,la-13,69,754
cn-north-0,la-14,68,744
cn-north-0,la-15,83,977
cn-north-0,la-16,16,632
cn-north-0,la-17,25,533
cn-north-0,la-18,69,603
cn-north-0,la-19,78,684
cn-north-0,la-20,52,774
cn-north-0,la-21,61,622
cn-north-0,la-22,77,989
cn-north-0,la-23,90,632
cn-north-0,la-24,11,902
cn-north-1,cn-north-2,35,661
cn-north-1,cn-north-3,57,667
cn-north-1,cn-north-4,97,845
cn-north-1,cn-north-5,25,646
cn-north-1,cn-north-6,36,626
cn-north-1,cn-north-7,86,627
cn-north-1,cn-north-8,91,964
cn-north-1,cn-north-9,61,987
cn-north-1,cn-north-10,64,672
cn-north-1,cn-north-11,59,741
cn-north-1,cn-north-12,91,734
cn-north-1,cn-north-13,38,569
cn-north-1,cn-north-14,28,736
cn-north-1,cn-north-15,53,839
cn-north-1,cn-north-16,100,756
cn-north-1,cn-north-17,33,541
cn-north-1,cn-north-18,28,863
cn-north-1,cn-north-19,89,534
cn-north-1,cn-north-20,81,897
cn-north-1,cn-north-21,18,830
cn-north-1,cn-north-22,67,873
cn-north-1,cn-north-23,21,925
cn-north-1,cn-north-24,47,511
cn-north-1,cn-north-25,25,792
cn-north-1,cn-north-26,47,788
cn-north-1,cn-north-27,83,958
cn-north-1,cn-north-28,82,828
cn-north-1,cn-north-29,16,521
cn-north-1,cn-north-30,32,845
cn-north-1,cn-north-31,93,572
cn-north-1,cn-north-32,78,729
cn-north-1,cn-north-33,28,620
cn-north-1,cn-north-34,100,849
cn-north-1,cn-north-35,76,815
cn-north-1,cn-north-36,10,885
cn-north-1,cn-north-37,56,727
cn-north-1,cn-north-38,15,691
cn-north-1,cn-north-39,91,576
cn-north-1,cn-north-40,85,553
cn-north-1,cn-north-41,72,703
cn-north-1,cn-north-42,10,790
cn-north-1,cn-north-43,75,671
cn-north-1,cn-north-44,44,611
cn-north-1,cn-north-45,78,742
cn-north-1,cn-north-46,43,601
cn-north-1,cn-north-47,72,899
cn-north-1,cn-north-48,13,733
cn-north-1,cn-north-49,18,502
cn-north-1,cn-north-50,74,928
cn-north-1,cn-north-51,72,602
cn-north-1,cn-north-52,13,643
cn-north-1,cn-north-53,14,928
cn-north-1,cn-north-54,37,932
cn-north-1,cn-north-55,17,718
cn-north-1,cn-north-56,95,956
cn-north-1,cn-north-57,57,750
cn-north-1,cn-north-58,97,735
cn-north-1,cn-north-59,33,567
cn-north-1,cn-north-60,96,868
cn-north-1,cn-north-61,22,906
cn-north-1,cn-north-62,39,514
cn-north-1,cn-north-63,33,839
cn-north-1,cn-north-64,88,539
cn-north-1,cn-north-65,32,830
cn-north-1,cn-north-66,69,809
cn-north-1,cn-north-67,26,669
cn-north-1,cn-north-68,91,554
cn-north-1,cn-north-69,37,895
cn-north-1,cn-north-70,95,935
cn-north-1,cn-north-71,94,907
cn-north-1,cn-north-72,59,761
cn-north-1,cn-north-73,39,535
cn-north-1,cn-north-74,40,852
cn-north-1,cn-north-75,31,913
cn-north-1,cn-north-76,87,534
cn-north-1,cn-north-77,63,957
cn-north-1,cn-north-78,66,837
cn-north-1,cn-north-79,74,924
cn-north-1,cn-north-80,35,651
cn-north-1,cn-north-81,66,961
cn-north-1,cn-north-82,28,991
cn-north-1,cn-north-83,23,772
cn-north-1,cn-north-84,93,624
cn-north-1,cn-north-85,89,596
cn-north-1,cn-north-86,66,889
cn-north-1,cn-north-87,65,895
cn-north-1,cn-north-88,43,826
cn-north-1,cn-north-89,20,663
cn-north-1,cn-north-90,30,997
cn-north-1,cn-north-91,99,645
cn-north-1,cn-north-92,36,677
cn-north-1,cn-north-93,60,619
cn-north-1,cn-north-94,44,601
cn-north-1,cn-north-95,73,614
cn-north-1,cn-north-96,86,671
cn-north-1,cn-north-97,81,947
cn-north-1,cn-north-98,30,636
cn-north-1,cn-north-99,70,693
cn-north-1,cn-south-0,63,700
cn-north-1,cn-south-1,69,590
cn-north-1,cn-south-2,93,803
cn-north-1,cn-south-3,82,880
cn-north-1,cn-south-4,16,989
cn-north-1,cn-south-5,64,914
cn-north-1,cn-south-6,60,761
cn-north-1,cn-south-7,30,907
cn-north-1,cn-south-8,65,714
cn-north-1,cn-south-9,59,841
cn-north-1,cn-south-10,23,669
cn-north-1,cn-south-11,73,983
cn-north-1,cn-south-12,92,877
cn-north-1,cn-south-13,15,896
cn-north-1,cn-south-14,41,554
cn-north-1,cn-south-15,92,965
cn-north-1,cn-south-16,88,588
cn-north-1,cn-south-17,38,512
cn-north-1,cn-south-18,22,995
cn-north-1,cn-south-19,87,975
cn-north-1,cn-south-20,41,972
cn-north-1,cn-south-21,66,824
cn-north-1,cn-south-22,95,716
cn-north-1,cn-south-23,63,901
cn-north-1,cn-south-24,94,800
cn-north-1,cn-south-25,54,597
cn-north-1,cn-south-26,81,584
cn-north-1,cn-south-27,30,907
cn-north-1,cn-south-28,76,555
cn-north-1,cn-south-29,37,627
cn-north-1,cn-south-30,100,996
cn-north-1,cn-south-31,83,685
cn-north-1,cn-south-32,40,540
cn-north-1,cn-south-33,61,671
cn-north-1,cn-south-34,13,847
cn-north-1,cn-south-35,95,634
cn-north-1,cn-south-36,50,976
cn-north-1,cn-south-37,92,945
cn-north-1,cn-south-38,44,743
cn-north-1,cn-south-39,68,931
cn-north-1,cn-south-40,14,584
cn-north-1,cn-south-41,78,770
cn-north-1,cn-south-42,53,558
cn-north-1,cn-south-43,34,816
cn-north-1,cn-south-44,93,621
cn-north-1,cn-south-45,87,531
cn-north-1,cn-south-46,23,761
cn-north-1,cn-south-47,71,693
cn-north-1,cn-south-48,28,584
cn-north-1,cn-south-49,49,806
cn-north-1,cn-south-50,61,567
cn-north-1,cn-south-51,15,727
cn-north-1,cn-south-52,60,952
cn-north-1,cn-south-53,52,531
cn-north-1,cn-south-54,13,659
cn-north-1,cn-south-55,49,762
cn-north-1,cn-south-56,26,641
cn-north-1,cn-south-57,88,780
cn-north-1,cn-south-58,38,902
cn-north-1,cn-south-59,82,824
cn-north-1,cn-south-60,39,654
cn-north-1,cn-south-61,53,956
cn-north-1,cn-south-62,69,745
cn-north-1,cn-south-63,57,971
cn-north-1,cn-south-64,44,621
cn-north-1,cn-south-65,56,726
cn-north-1,cn-south-66,63,801
cn-north-1,cn-south-67,52,797
cn-north-1,cn-south-68,52,956
cn-north-1,cn-south-69,56,628
cn-north-1,cn-south-70,47,986
cn-north-1,cn-south-71,38,799
cn-north-1,cn-south-72,50,695
cn-north-1,cn-south-73,61,880
cn-north-1,cn-south-74,12,546
cn-north-1,cn-south-75,76,756
cn-north-1,cn-south-76,97,615
cn-north-1,cn-south-77,20,938
cn-north-1,cn-south-78,61,975
cn-north-1,cn-south-79,17,763
cn-north-1,cn-south-80,72,942
cn-north-1,cn-south-81,85,600
cn-north-1,cn-south-82,64,678
cn-north-1,cn-south-83,52,751
cn-north-1,cn-south-84,75,903
cn-north-1,cn-south-85,68,752
cn-north-1,cn-south-86,87,848
cn-north-1,cn-south-87,62,717
cn-north-1,cn-south-88,94,697
cn-north-1,cn-south-89,58,989
cn-north-1,cn-south-90,49,822
cn-north-1,cn-south-91,77,875
cn-north-1,cn-south-92,31,769
cn-north-1,cn-south-93,80,551
cn-north-1,cn-south-94,52,850
cn-north-1,cn-south-95,10,810
cn-north-1,cn-south-96,20,729
cn-north-1,cn-south-97,92,946
cn-north-1,cn-south-98,93,566
cn-north-1,cn-south-99,97,590
cn-north-1,cn-east-0,73,656
cn-north-1,cn-east-1,63,602
cn-north-1,cn-east-2,64,538
cn-north-1,cn-east-3,17,743
cn-north-1,cn-east-4,30,871
cn-north-1,cn-east-5,77,573
cn-north-1,cn-east-6,35,790
cn-north-1,cn-east-7,30,701
cn-north-1,cn-east-8,55,790
cn-north-1,cn-east-9,66,992
cn-north-1,cn-east-10,15,776
cn-north-1,cn-east-11,70,962
cn-north-1,cn-east-12,43,836
cn-north-1,cn-east-13,53,633
cn-north-1,cn-east-14,71,608
cn-north-1,cn-east-15,57,601
cn-north-1,cn-east-16,16,625
cn-north-1,cn-east-17,85,864
cn-north-1,cn-east-18,25,671
cn-north-1,cn-east-19,44,845
cn-north-1,cn-east-20,84,562
cn-north-1,cn-east-21,100,829
cn-north-1,cn-east-22,81,568
cn-north-1,cn-east-23,27,604
cn-north-1,cn-east-24,55,684
cn-north-1,cn-east-25,21,680
cn-north-1,cn-east-26,62,808
cn-north-1,cn-east-27,90,876
cn-north-1,cn-east-28,37,779
cn-north-1,cn-east-29,61,691
cn-north-1,cn-east-30,16,934
cn-north-1,cn-east-31,33,852
cn-north-1,cn-east-32,79,912
cn-north-1,cn-east-33,60,576
cn-north-1,cn-east-34,17,950
cn-north-1,cn-east-35,68,887
cn-north-1,cn-east-36,96,531
cn-north-1,cn-east-37,66,614
cn-north-1,cn-east-38,78,702
cn-north-1,cn-east-39,10,803
cn-north-1,cn-east-40,96,909
cn-north-1,cn-east-41,47,937
cn-north-1,cn-east-42,50,750
cn-north-1,cn-east-43,62,709
cn-north-1,cn-east-44,45,543
cn-north-1,cn-east-45,27,569
cn-north-1,cn-east-46,73,517
cn-north-1,cn-east-47,73,853
cn-north-1,cn-east-48,12,814
cn-north-1,cn-east-49,30,696
cn-north-1,cn-east-50,85,521
cn-north-1,cn-east-51,11,997
cn-north-1,cn-east-52,31,617
cn-north-1,cn-east-53,58,913
cn-north-1,cn-east-54,12,601
cn-north-1,cn-east-55,11,799
cn-north-1,cn-east-56,27,668
cn-north-1,cn-east-57,21,631
cn-north-1,cn-east-58,22,791
cn-north-1,cn-east-59,31,874
cn-north-1,cn-east-60,100,865
cn-north-1,cn-east-61,85,661
cn-north-1,cn-east-62,72,545
cn-north-1,cn-east-63,69,905
cn-north-1,cn-east-64,64,582
cn-north-1,cn-east-65,13,533
cn-north-1,cn-east-66,89,586
cn-north-1,cn-east-67,77,748
cn-north-1,cn-east-68,74,702
cn-north-1,cn-east-69,65,804
cn-north-1,cn-east-70,56,856
cn-north-1,cn-east-71,14,915
cn-north-1,cn-east-72,100,541
